threshold_set,potential_cut,actual_cut,gap_cut,candidate_count,candidate_share,overlap_with_baseline_count,overlap_with_baseline_share,jaccard_with_baseline,is_baseline_rule
三点阈值组_0.20_0.50_0.80,0.2,0.2,0.2,1054,0.11048218029350104,474,0.42664266426642666,0.280307510348906,False
三点阈值组_0.20_0.50_0.80,0.2,0.2,0.5,577,0.060482180293501046,474,0.42664266426642666,0.3904448105436573,False
三点阈值组_0.20_0.50_0.80,0.2,0.2,0.8,247,0.025890985324947588,247,0.2223222322232223,0.2223222322232223,False
三点阈值组_0.20_0.50_0.80,0.2,0.5,0.2,2240,0.2348008385744235,1111,1.0,0.49598214285714287,False
三点阈值组_0.20_0.50_0.80,0.2,0.5,0.5,865,0.09067085953878407,762,0.6858685868586859,0.627677100494234,False
三点阈值组_0.20_0.50_0.80,0.2,0.5,0.8,247,0.025890985324947588,247,0.2223222322232223,0.2223222322232223,False
三点阈值组_0.20_0.50_0.80,0.2,0.8,0.2,2672,0.280083857442348,1111,1.0,0.4157934131736527,False
三点阈值组_0.20_0.50_0.80,0.2,0.8,0.5,865,0.09067085953878407,762,0.6858685868586859,0.627677100494234,False
三点阈值组_0.20_0.50_0.80,0.2,0.8,0.8,247,0.025890985324947588,247,0.2223222322232223,0.2223222322232223,False
三点阈值组_0.20_0.50_0.80,0.5,0.2,0.2,722,0.07568134171907757,474,0.42664266426642666,0.3487858719646799,False
三点阈值组_0.20_0.50_0.80,0.5,0.2,0.5,577,0.060482180293501046,474,0.42664266426642666,0.3904448105436573,False
三点阈值组_0.20_0.50_0.80,0.5,0.2,0.8,247,0.025890985324947588,247,0.2223222322232223,0.2223222322232223,False
三点阈值组_0.20_0.50_0.80,0.5,0.5,0.2,1858,0.19475890985324948,1111,1.0,0.5979547900968784,False
三点阈值组_0.20_0.50_0.80,0.5,0.5,0.5,865,0.09067085953878407,762,0.6858685868586859,0.627677100494234,False
三点阈值组_0.20_0.50_0.80,0.5,0.5,0.8,247,0.025890985324947588,247,0.2223222322232223,0.2223222322232223,False
三点阈值组_0.20_0.50_0.80,0.5,0.8,0.2,2290,0.240041928721174,1111,1.0,0.4851528384279476,False
三点阈值组_0.20_0.50_0.80,0.5,0.8,0.5,865,0.09067085953878407,762,0.6858685868586859,0.627677100494234,False
三点阈值组_0.20_0.50_0.80,0.5,0.8,0.8,247,0.025890985324947588,247,0.2223222322232223,0.2223222322232223,False
三点阈值组_0.20_0.50_0.80,0.8,0.2,0.2,365,0.03825995807127883,365,0.32853285328532855,0.32853285328532855,False
三点阈值组_0.20_0.50_0.80,0.8,0.2,0.5,365,0.03825995807127883,365,0.32853285328532855,0.32853285328532855,False
三点阈值组_0.20_0.50_0.80,0.8,0.2,0.8,247,0.025890985324947588,247,0.2223222322232223,0.2223222322232223,False
三点阈值组_0.20_0.50_0.80,0.8,0.5,0.2,792,0.0830188679245283,792,0.7128712871287128,0.7128712871287128,False
三点阈值组_0.20_0.50_0.80,0.8,0.5,0.5,621,0.06509433962264151,621,0.5589558955895589,0.5589558955895589,False
三点阈值组_0.20_0.50_0.80,0.8,0.5,0.8,247,0.025890985324947588,247,0.2223222322232223,0.2223222322232223,False
三点阈值组_0.20_0.50_0.80,0.8,0.8,0.2,1144,0.119916142557652,792,0.7128712871287128,0.5413533834586466,False
三点阈值组_0.20_0.50_0.80,0.8,0.8,0.5,621,0.06509433962264151,621,0.5589558955895589,0.5589558955895589,False
三点阈值组_0.20_0.50_0.80,0.8,0.8,0.8,247,0.025890985324947588,247,0.2223222322232223,0.2223222322232223,False
四分位阈值组_0.25_0.50_0.75,0.25,0.25,0.25,1158,0.12138364779874214,566,0.5094509450945095,0.33235466823253085,False
四分位阈值组_0.25_0.50_0.75,0.25,0.25,0.5,659,0.0690775681341719,556,0.5004500450045004,0.45799011532125206,False
四分位阈值组_0.25_0.50_0.75,0.25,0.25,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.25,0.5,0.25,1970,0.20649895178197064,1111,1.0,0.5639593908629441,False
四分位阈值组_0.25_0.50_0.75,0.25,0.5,0.5,865,0.09067085953878407,762,0.6858685868586859,0.627677100494234,False
四分位阈值组_0.25_0.50_0.75,0.25,0.5,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.25,0.75,0.25,2267,0.23763102725366878,1111,1.0,0.49007498897220997,False
四分位阈值组_0.25_0.50_0.75,0.25,0.75,0.5,865,0.09067085953878407,762,0.6858685868586859,0.627677100494234,False
四分位阈值组_0.25_0.50_0.75,0.25,0.75,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.5,0.25,0.25,915,0.0959119496855346,566,0.5094509450945095,0.38767123287671235,False
四分位阈值组_0.25_0.50_0.75,0.5,0.25,0.5,659,0.0690775681341719,556,0.5004500450045004,0.45799011532125206,False
四分位阈值组_0.25_0.50_0.75,0.5,0.25,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.5,0.5,0.25,1727,0.1810272536687631,1111,1.0,0.643312101910828,False
四分位阈值组_0.25_0.50_0.75,0.5,0.5,0.5,865,0.09067085953878407,762,0.6858685868586859,0.627677100494234,False
四分位阈值组_0.25_0.50_0.75,0.5,0.5,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.5,0.75,0.25,2024,0.2121593291404612,1111,1.0,0.5489130434782609,False
四分位阈值组_0.25_0.50_0.75,0.5,0.75,0.5,865,0.09067085953878407,762,0.6858685868586859,0.627677100494234,False
四分位阈值组_0.25_0.50_0.75,0.5,0.75,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.75,0.25,0.25,487,0.051048218029350105,487,0.4383438343834383,0.4383438343834383,False
四分位阈值组_0.25_0.50_0.75,0.75,0.25,0.5,487,0.051048218029350105,487,0.4383438343834383,0.4383438343834383,False
四分位阈值组_0.25_0.50_0.75,0.75,0.25,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.75,0.5,0.25,978,0.10251572327044026,959,0.8631863186318632,0.8486725663716814,False
四分位阈值组_0.25_0.50_0.75,0.75,0.5,0.5,693,0.07264150943396226,693,0.6237623762376238,0.6237623762376238,False
四分位阈值组_0.25_0.50_0.75,0.75,0.5,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.75,0.75,0.25,1275,0.13364779874213836,959,0.8631863186318632,0.6720392431674842,False
四分位阈值组_0.25_0.50_0.75,0.75,0.75,0.5,693,0.07264150943396226,693,0.6237623762376238,0.6237623762376238,False
四分位阈值组_0.25_0.50_0.75,0.75,0.75,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
