encoded_feature,original_feature,importance
num__recommended_names_suspicious_flag,recommended_names_suspicious_flag,0.11847234
num__publication_age_days_clean,publication_age_days_clean,0.09346344
cat__数据资源类型_数据产品,数据资源类型,0.065054886
cat__detail_time_scope_2025年-2025年,detail_time_scope,0.043205783
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;,开放条件,0.039318062
cat__detail_time_scope_-,detail_time_scope,0.03795595
num__has_meaningful_time_scope,has_meaningful_time_scope,0.036655575
num__is_data_product,is_data_product,0.03624766
cat__数据资源提供部门_上海市嘉定区人民政府,数据资源提供部门,0.031573337
num__maintenance_span_days_clean,maintenance_span_days_clean,0.025457688
num__is_unconditional_open,is_unconditional_open,0.023720097
cat__数据资源提供部门_上海市虹口区人民政府,数据资源提供部门,0.019190837
num__is_conditional_open,is_conditional_open,0.016158992
num__is_data_interface,is_data_interface,0.016103985
cat__开放条件_无条件开放,开放条件,0.015224004
cat__开放条件_无条件开放&&无条件开放,开放条件,0.014590243
cat__detail_spatial_scope_虹口区,detail_spatial_scope,0.01362387
cat__detail_spatial_scope_黄浦区,detail_spatial_scope,0.011073966
num__api_need_apply_clean,api_need_apply_clean,0.009872022
cat__数据资源提供部门_上海市大数据中心,数据资源提供部门,0.0090496745
cat__spatial_admin_level_区级,spatial_admin_level,0.009022376
cat__spatial_admin_level_市级,spatial_admin_level,0.00832092
cat__数据资源提供部门_上海市普陀区人民政府,数据资源提供部门,0.007992936
cat__数据资源提供部门_上海市宝山区人民政府,数据资源提供部门,0.007695133
cat__数据资源提供部门_上海市徐汇区人民政府,数据资源提供部门,0.007450868
cat__数据资源提供部门_上海市浦东新区人民政府,数据资源提供部门,0.007347955
num__has_csv_clean,has_csv_clean,0.007292367
cat__detail_spatial_scope_浦东新区,detail_spatial_scope,0.006837877
cat__数据资源提供部门_上海市公安局,数据资源提供部门,0.006795956
cat__数据资源提供部门_上海市黄浦区人民政府,数据资源提供部门,0.0067780917
num__recommended_dataset_count_clean,recommended_dataset_count_clean,0.006668926
cat__数据资源提供部门_上海市静安区人民政府,数据资源提供部门,0.0065137944
cat__数据资源提供部门_上海市气象局,数据资源提供部门,0.006339239
cat__数据领域_道路交通,数据领域,0.005883034
num__update_recency_days_clean,update_recency_days_clean,0.0055745803
cat__detail_spatial_scope_崇明区,detail_spatial_scope,0.005341193
num__date_order_anomaly,date_order_anomaly,0.005176028
cat__detail_spatial_scope_宝山区,detail_spatial_scope,0.0051187035
cat__detail_spatial_scope_静安区,detail_spatial_scope,0.0050931238
num__has_rdf_clean,has_rdf_clean,0.0040390287
cat__数据领域_信用服务,数据领域,0.003975454
cat__数据资源提供部门_上海市绿化和市容管理局,数据资源提供部门,0.0038027752
cat__数据资源提供部门_上海市崇明区人民政府办公室,数据资源提供部门,0.0036464497
cat__数据资源提供部门_上海市闵行区人民政府,数据资源提供部门,0.0036215924
cat__spatial_admin_level_其他/不确定,spatial_admin_level,0.0034867565
cat__detail_spatial_scope_青浦区,detail_spatial_scope,0.003399992
cat__detail_spatial_scope_闵行区,detail_spatial_scope,0.0032710286
cat__开放属性_无条件开放,开放属性,0.0032558376
cat__detail_spatial_scope_普陀区,detail_spatial_scope,0.0031549565
cat__更新频率_每天,更新频率,0.003033102
num__format_count_clean,format_count_clean,0.0029359097
cat__数据资源提供部门_上海市农业农村委员会,数据资源提供部门,0.002847157
cat__更新频率_静态数据,更新频率,0.0026214956
cat__数据资源提供部门_上海市青浦区人民政府,数据资源提供部门,0.0026035595
cat__更新频率_不定期更新,更新频率,0.0025643753
cat__detail_spatial_scope_徐汇区,detail_spatial_scope,0.002544951
cat__数据资源提供部门_上海市生态环境局,数据资源提供部门,0.0025288977
cat__开放条件_无条件开放&&,开放条件,0.0025236795
cat__更新频率_每月,更新频率,0.0024977096
cat__数据领域_气象服务,数据领域,0.0024253782
cat__数据领域_卫生健康,数据领域,0.0023592983
cat__detail_spatial_scope_本市,detail_spatial_scope,0.0023500605
cat__detail_spatial_scope_嘉定区,detail_spatial_scope,0.002342924
cat__detail_time_scope_2025年-2026年,detail_time_scope,0.002338052
num__field_description_count_clean,field_description_count_clean,0.0022736914
cat__detail_spatial_scope_金山区,detail_spatial_scope,0.0021955064
cat__detail_time_scope_2026年-2026年,detail_time_scope,0.0021512285
cat__detail_time_scope_2009年-2019年,detail_time_scope,0.002117486
cat__数据资源提供部门_上海市商务委员会,数据资源提供部门,0.002105309
cat__数据资源提供部门_上海市统计局,数据资源提供部门,0.0019613395
cat__数据资源提供部门_上海市文化和旅游局,数据资源提供部门,0.0019586177
cat__detail_time_scope_2022年-2025年,detail_time_scope,0.0019148523
cat__detail_spatial_scope_长宁区,detail_spatial_scope,0.0018973438
cat__数据资源提供部门_上海市金山区人民政府,数据资源提供部门,0.0018944984
cat__数据资源提供部门_上海市水务局,数据资源提供部门,0.0018354309
cat__数据领域_民生服务,数据领域,0.001778185
cat__数据资源提供部门_上海市崇明区人民政府,数据资源提供部门,0.00177223
cat__detail_time_scope_2020年-2023年,detail_time_scope,0.0017465196
cat__数据领域_资源环境,数据领域,0.0017387941
cat__数据领域_机构团体,数据领域,0.0015783388
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&经业务部门审核同意，且具备基础数据安全保护能力的前提下，可在自身业务范围内，将数据用于科学研究、咨询报告编制、业务运营支撑等场景。使用过程中需规范注明数据来源，并接受定期的数据使用情况核查。,开放条件,0.0015770104
cat__更新频率_每年,更新频率,0.0015693537
cat__数据领域_文化休闲,数据领域,0.0015115303
num__data_size_log_winsor_p99,data_size_log_winsor_p99,0.0015088622
cat__数据资源提供部门_上海市长宁区人民政府,数据资源提供部门,0.0014954178
num__has_data_sample,has_data_sample,0.0014927648
cat__数据资源提供部门_上海市药品监督管理局,数据资源提供部门,0.0014037255
cat__数据资源提供部门_上海市杨浦区人民政府,数据资源提供部门,0.0013320267
cat__开放条件_无条件开放&&无条件,开放条件,0.0013285846
num__title_len,title_len,0.0013058534
cat__detail_spatial_scope_杨浦区,detail_spatial_scope,0.0012539267
num__description_len,description_len,0.0012505417
cat__数据资源提供部门_上海市住房和城乡建设管理委员会,数据资源提供部门,0.0012489044
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;,开放条件,0.0012066134
cat__数据资源提供部门_上海市交通委员会,数据资源提供部门,0.0011732582
num__record_count_log_winsor_p99,record_count_log_winsor_p99,0.0011645497
cat__数据资源提供部门_上海市市场监督管理局,数据资源提供部门,0.0011633759
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&依申请开放,开放条件,0.0011589207
cat__detail_time_scope_2022年-2022年,detail_time_scope,0.0011251422
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依申请开放，成果需模糊敏感信息,开放条件,0.001098029
cat__数据资源提供部门_上海市科学技术委员会,数据资源提供部门,0.0010958447
cat__detail_spatial_scope_奉贤区,detail_spatial_scope,0.001071384
num__low_field_count_flag,low_field_count_flag,0.0010581373
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;,开放条件,0.001048011
cat__数据资源提供部门_上海市教育委员会,数据资源提供部门,0.0010219242
num__has_standard_field_description,has_standard_field_description,0.0010158896
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;,开放条件,0.0009973152
cat__detail_spatial_scope_松江区,detail_spatial_scope,0.0009784395
num__has_geo_field_strict,has_geo_field_strict,0.0009740817
cat__数据资源提供部门_上海市徐汇区人民政府办公室,数据资源提供部门,0.00097204075
cat__数据资源提供部门_上海市松江区人民政府,数据资源提供部门,0.00097059045
cat__数据资源提供部门_上海市卫生健康委员会,数据资源提供部门,0.0009646841
cat__更新频率_即时,更新频率,0.00092976616
cat__detail_time_scope_2024年-2025年,detail_time_scope,0.00092560204
cat__数据领域_教育科技,数据领域,0.00091221416
cat__detail_time_scope_2020年-2025年,detail_time_scope,0.0008931449
num__description_has_field_hint,description_has_field_hint,0.0008914217
cat__数据资源提供部门_上海市人力资源和社会保障局,数据资源提供部门,0.00088049116
cat__数据领域_社会发展,数据领域,0.00087093154
cat__数据领域_城市建设,数据领域,0.0008509276
cat__数据领域_农业农村,数据领域,0.0008491653
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，实时日志反馈，定期提交利用报告；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得对外提供查询服务;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;,开放条件,0.0008386106
cat__detail_time_scope_2023年-2025年,detail_time_scope,0.00083090755
cat__detail_time_scope_2019年-2024年,detail_time_scope,0.00081178034
num__field_count_clean,field_count_clean,0.00081017474
cat__detail_time_scope_2025年,detail_time_scope,0.00080644194
cat__数据资源提供部门_上海市应急管理局,数据资源提供部门,0.0007893377
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请该数据，需要完整描述需求场景和用途,开放条件,0.00077883486
cat__数据领域_社保就业,数据领域,0.0007713734
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&如有和文旅相关申请可开放,开放条件,0.0007704838
num__has_xlsx_clean,has_xlsx_clean,0.00076399074
cat__数据资源提供部门_上海市奉贤区人民政府,数据资源提供部门,0.00076296105
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依申请开放,开放条件,0.0007513284
cat__detail_time_scope_2023年-2023年,detail_time_scope,0.00074422837
cat__数据资源提供部门_上海市司法局,数据资源提供部门,0.000736971
num__has_xml_clean,has_xml_clean,0.00072930934
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，实时日志反馈，定期提交利用报告；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得对外提供查询服务;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请该数据，请提供申请人姓名、工作(学习)单位、联系电话，并且说明数据用途和使用场景。,开放条件,0.00072379987
cat__数据资源提供部门_上海市发展和改革委员会,数据资源提供部门,0.0006984926
num__has_json_clean,has_json_clean,0.00068922894
cat__数据领域_公共安全,数据领域,0.0006890957
num__suspicious_field_names_flag,suspicious_field_names_flag,0.0006863468
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&申请通过即可开放,开放条件,0.00067802094
num__scene_keyword_count,scene_keyword_count,0.0006587734
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请该数据，需要完整描述需求场景和用途,开放条件,0.00064776343
cat__detail_time_scope_2021年-2025年,detail_time_scope,0.00064392673
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;&&依申请开放,开放条件,0.00063459866
cat__detail_time_scope_2021年-2024年,detail_time_scope,0.0006339072
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息;注明数据来源，定期抽查数据使用情况;&&,开放条件,0.0006047665
cat__数据领域_工业制造,数据领域,0.00060040026
cat__数据资源提供部门_上海市总工会,数据资源提供部门,0.00059786363
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&需要上海市奉贤区大数据中心同意,开放条件,0.0005964357
cat__更新频率_每季度,更新频率,0.00059395673
cat__数据领域_经济建设,数据领域,0.00058513257
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有较完善的数据安全保护体系;仅可用于主管部门授权的场景;注明数据来源，实时日志反馈，定期提交利用报告；&&向业务部门申请,开放条件,0.0005848322
cat__数据资源提供部门_上海市卫生健康委员会（上海市中医药管理局）,数据资源提供部门,0.0005680028
cat__detail_time_scope_2019年-2025年,detail_time_scope,0.0005545668
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&有基础的数据安全保护能力;不得用于挖掘个人敏感信息；注明数据来源，定期抽查数据使用情况;,开放条件,0.0005418081
num__has_time_field_strict,has_time_field_strict,0.00054101535
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;,开放条件,0.0005373027
cat__数据资源提供部门_上海市民政局,数据资源提供部门,0.00053514895
cat__数据资源提供部门_上海市国防动员办公室,数据资源提供部门,0.0005147583
cat__数据资源提供部门_上海市知识产权局,数据资源提供部门,0.0005023421
cat__开放条件_有较完善的数据安全保护体系;仅注明数据来源，定期抽查数据使用情况;可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;申请上海市公安局有条件开放数据需填写《上海市公安局数据开放申请信息表》，并按要求如实填写提交。申请信息表下载链接如下：https://data.sh.gov.cn/assets/data/上海市公安局数据开放申请信息表.pdf;&&,开放条件,0.0005010889
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&面向社会开放，使用方需根据实际需要提出申请,开放条件,0.00048044347
cat__detail_time_scope_2017年-2025年,detail_time_scope,0.00047797873
cat__开放条件_有较完善的数据安全保护体系;仅注明数据来源，定期抽查数据使用情况;可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&,开放条件,0.00047766019
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依申请开放清单,开放条件,0.00046474434
cat__detail_time_scope_2017年-2024年,detail_time_scope,0.00046276793
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&用于科学研究应用场景,开放条件,0.0004606992
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&个人实名制注册后开放,开放条件,0.0004359948
cat__detail_time_scope_2022年-2024年,detail_time_scope,0.00042162847
cat__数据资源提供部门_上海市规划和自然资源局,数据资源提供部门,0.00042056717
cat__开放条件_有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&依申请开放,开放条件,0.0004193651
cat__数据资源提供部门_上海市国有资产监督管理委员会,数据资源提供部门,0.00041253396
cat__数据资源提供部门_上海市体育局,数据资源提供部门,0.00040411126
cat__开放条件_有基础的数据安全保护能力;不得用于挖掘个人敏感信息;注明数据来源，定期抽查数据使用情况;有较完善的数据安全保护体系;仅注明数据来源，定期抽查数据使用情况;可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&,开放条件,0.00040109965
cat__detail_time_scope_2024年-2024年,detail_time_scope,0.00039758842
cat__detail_time_scope_2020年-2024年,detail_time_scope,0.00039221995
